occ_year,occ_month,difference,location,bicycle_status
2014,4,1,Educational,STOLEN
2014,4,0,Educational,STOLEN
2014,4,0,Outside,STOLEN
2014,4,0,Outside,STOLEN
2014,4,1,Outside,STOLEN
2014,4,0,Outside,STOLEN
2014,4,1,Commercial,STOLEN
2014,4,1,Apartment,STOLEN
2014,4,1,Outside,STOLEN
2014,4,2,Commercial,STOLEN
2014,4,1,House,STOLEN
2014,4,0,Outside,STOLEN
2014,4,0,Outside,STOLEN
2014,4,1,Transit,STOLEN
2014,4,0,Apartment,STOLEN
2014,4,0,Outside,STOLEN
2014,4,3,House,STOLEN
2014,4,3,House,STOLEN
2014,4,1,Transit,RECOVERED
2014,4,0,Outside,STOLEN
2014,4,0,Outside,STOLEN
2014,4,3,House,STOLEN
2014,4,3,House,STOLEN
2014,4,0,Outside,UNKNOWN
2014,4,1,Outside,STOLEN
2014,4,1,Outside,STOLEN
2014,4,3,House,STOLEN
2014,4,1,House,STOLEN
2014,4,11,House,STOLEN
2014,4,0,Commercial,STOLEN
2014,2,54,Apartment,STOLEN
2014,2,64,Apartment,STOLEN
2014,4,1,House,STOLEN
2014,4,3,Commercial,STOLEN
2014,4,0,Outside,STOLEN
2014,4,12,Apartment,STOLEN
2014,4,1,Commercial,STOLEN
2014,4,12,Apartment,STOLEN
2014,4,2,Educational,STOLEN
2014,4,2,Educational,STOLEN
2014,4,3,Educational,STOLEN
2014,4,3,Educational,STOLEN
2014,4,2,Other,STOLEN
2014,4,5,House,STOLEN
2014,4,1,Outside,STOLEN
2014,4,1,Apartment,STOLEN
2014,4,1,Outside,STOLEN
2014,4,2,House,STOLEN
2014,4,1,Educational,STOLEN
2014,4,0,House,STOLEN
2014,4,5,House,RECOVERED
2014,4,1,House,STOLEN
2014,4,2,Outside,STOLEN
2014,4,9,Outside,STOLEN
2014,4,1,Commercial,STOLEN
2014,4,4,House,STOLEN
2014,4,1,Outside,STOLEN
2014,4,7,Apartment,STOLEN
2014,4,1,Outside,STOLEN
2014,4,7,Outside,STOLEN
2014,4,0,Outside,RECOVERED
2014,4,0,Outside,STOLEN
2014,4,3,Educational,STOLEN
2014,4,0,Apartment,STOLEN
2014,4,0,Apartment,STOLEN
2014,3,60,House,STOLEN
2014,4,5,Apartment,STOLEN
2014,5,0,Educational,STOLEN
2014,3,60,House,STOLEN
2014,4,1,House,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,2,House,STOLEN
2014,5,2,House,STOLEN
2014,5,2,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,4,7,Outside,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,1,Outside,STOLEN
2014,4,16,Outside,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,1,Educational,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,2,Educational,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,3,Apartment,STOLEN
2014,5,6,Apartment,STOLEN
2014,4,18,Other,STOLEN
2014,5,6,Outside,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Educational,STOLEN
2014,5,3,Other,STOLEN
2014,5,1,House,STOLEN
2014,5,0,Outside,STOLEN
2014,4,8,Outside,STOLEN
2014,5,3,Other,STOLEN
2014,5,0,Transit,STOLEN
2014,5,2,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,House,STOLEN
2014,5,0,House,STOLEN
2014,5,1,Outside,STOLEN
2014,5,1,Other,STOLEN
2014,5,0,Educational,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,House,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Commercial,STOLEN
2014,2,80,House,STOLEN
2014,5,1,House,STOLEN
2014,2,80,House,STOLEN
2014,5,0,Outside,STOLEN
2014,5,2,Apartment,STOLEN
2014,5,4,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Outside,RECOVERED
2014,4,21,Other,STOLEN
2014,5,3,Other,STOLEN
2014,5,0,Other,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,1,Other,STOLEN
2014,5,1,Other,STOLEN
2014,5,3,Commercial,STOLEN
2014,5,1,House,STOLEN
2014,5,7,Educational,STOLEN
2014,5,0,Other,RECOVERED
2014,5,4,Educational,STOLEN
2014,5,11,Educational,STOLEN
2014,5,8,House,STOLEN
2014,5,0,Other,STOLEN
2014,5,2,House,STOLEN
2014,5,0,Outside,STOLEN
2014,5,4,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,1,Other,STOLEN
2014,5,1,House,STOLEN
2014,5,3,Outside,STOLEN
2014,5,5,Other,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,0,Commercial,STOLEN
2014,4,16,House,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,2,Outside,STOLEN
2014,5,1,House,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,7,Apartment,STOLEN
2014,5,2,House,STOLEN
2014,5,3,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,6,Outside,STOLEN
2014,5,2,House,RECOVERED
2014,5,3,Other,STOLEN
2014,5,2,Educational,STOLEN
2014,5,0,House,STOLEN
2014,5,2,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Transit,STOLEN
2014,5,2,Transit,STOLEN
2014,5,2,Outside,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,10,House,STOLEN
2014,5,0,Outside,STOLEN
2014,5,3,House,STOLEN
2014,5,3,Apartment,STOLEN
2014,5,0,Outside,STOLEN
2014,5,3,Other,STOLEN
2014,5,3,Other,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,Transit,STOLEN
2014,4,18,Educational,STOLEN
2014,5,0,Outside,STOLEN
2014,5,2,Outside,STOLEN
2014,5,6,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,6,Other,STOLEN
2014,5,1,House,STOLEN
2014,5,0,Outside,STOLEN
2014,5,5,Apartment,STOLEN
2014,3,77,Apartment,STOLEN
2014,5,1,House,STOLEN
2014,5,0,Outside,STOLEN
2014,5,2,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,3,Outside,STOLEN
2014,5,9,Apartment,STOLEN
2014,5,0,Commercial,STOLEN
2014,5,2,Outside,STOLEN
